metric,method,value,unit,data,variables,location,forest,details,year,title
r^2,mlr,0.175,,landsat,"bands,texture,vi","Yunnan Province, China",evergreen forests,,2023,Improving the accuracy of forest  aboveground biomass using  Landsat 8 OLI images by quantile  regression neural network for  Pinus densata forests in  southwestern China
rmse,mlr,51.631,mg/ha,landsat,"bands,texture,vi","Yunnan Province, China",evergreen forests,,2023,Improving the accuracy of forest  aboveground biomass using  Landsat 8 OLI images by quantile  regression neural network for  Pinus densata forests in  southwestern China
me,mlr,0.001,mg/ha,landsat,"bands,texture,vi","Yunnan Province, China",evergreen forests,,2023,Improving the accuracy of forest  aboveground biomass using  Landsat 8 OLI images by quantile  regression neural network for  Pinus densata forests in  southwestern China
mae,mlr,39.358,mg/ha,landsat,"bands,texture,vi","Yunnan Province, China",evergreen forests,,2023,Improving the accuracy of forest  aboveground biomass using  Landsat 8 OLI images by quantile  regression neural network for  Pinus densata forests in  southwestern China
r^2,mlr,0.39,,"S2,landsat","bands,texture,vi","Shanghai, China",urban forests,,2023,"Prediction of Urban Forest Aboveground Carbon Using Machine Learning Based on Landsat 8 and Sentinel-2: A Case Study of Shanghai, China"
rmse,mlr,8.95,mg/ha,"S2,landsat","bands,texture,vi","Shanghai, China",urban forests,,2023,"Prediction of Urban Forest Aboveground Carbon Using Machine Learning Based on Landsat 8 and Sentinel-2: A Case Study of Shanghai, China"
relative rmse,mlr,32.05,,"S2,landsat","bands,texture,vi","Shanghai, China",urban forests,,2023,"Prediction of Urban Forest Aboveground Carbon Using Machine Learning Based on Landsat 8 and Sentinel-2: A Case Study of Shanghai, China"
r^2,mlr,0.57,,landsat,"bands,vi","Parsa National Park, Nepal",subtropical forests,,2018,Landscape-Scale Aboveground Biomass Estimation in Buffer Zone Community Forests of Central Nepal: Coupling In Situ Measurements with Landsat 8 Satellite Data
rmse,mlr,37.23,t/ha,landsat,"bands,vi","Parsa National Park, Nepal",subtropical forests,,2018,Landscape-Scale Aboveground Biomass Estimation in Buffer Zone Community Forests of Central Nepal: Coupling In Situ Measurements with Landsat 8 Satellite Data
relative rmse,mlr,23.08,,landsat,"bands,vi","Parsa National Park, Nepal",subtropical forests,,2018,Landscape-Scale Aboveground Biomass Estimation in Buffer Zone Community Forests of Central Nepal: Coupling In Situ Measurements with Landsat 8 Satellite Data
r^2,mlr,0.56,,spot-6,vi,"Hyrcanian forests,Iran",deciduous broadleaved forests,only ndvi,2018,Estimating and mapping forest biomass using regression models and Spot-6 images (case study: Hyrcanian forests of north of Iran)
r^2,mlr,0.73,,geoeye,"bands,canopy","Mukuvisi Woodland, Zimbabwe",deciduous dry woodlands,,2018,Estimating Tree Crown Area and Aboveground  Biomass in Miombo Woodlands From  High-Resolution RGB-Only Imagery
relative rmse,mlr,0.509,,"eo,rapideye","bands,vi","Parque Estadual da Serra Azul, Brazil",Savanna forests,,2018,From sample to pixel: multi-scale remote sensing data for upscaling aboveground carbon data in heterogeneous landscapes
r^2,mlr,0.843,,"eo,rapideye","bands,vi","Parque Estadual da Serra Azul, Brazil",Savanna forests,,2018,From sample to pixel: multi-scale remote sensing data for upscaling aboveground carbon data in heterogeneous landscapes
r^2,mlr,0.72,,"quickbird,lidar","bands,canopy,topo","Kampong Thom Province, Cambodia",dry evergreen forests,,2018,Object-Based Mapping of Aboveground Biomass in Tropical Forests Using LiDAR and Very-High-Spatial-Resolution Satellite Data
mae,mlr,17.68,mg/ha,landsat,"bands,texture,vi","Xiaoxinganling Mountains, China",mixed forests,,2023,Simulation of Spatial and Temporal Distribution of Forest Carbon Stocks in Long Time Series—Based on Remote Sensing and Deep Learning
r^2,mlr,0.636,,"gf2,gf3,gf6","backscatter,bands,texture,topo,vi","Jianghuai Province, China",secondary forests,,2023,Research on Estimating and Evaluating Subtropical Forest Carbon Stocks by Combining Multi-Payload High-Resolution Satellite Data
rmse,mlr,29.948,t/ha,"gf2,gf3,gf6","backscatter,bands,texture,topo,vi","Jianghuai Province, China",secondary forests,,2023,Research on Estimating and Evaluating Subtropical Forest Carbon Stocks by Combining Multi-Payload High-Resolution Satellite Data
rmse,mlr,27.7,mg/ha,"landsat,alos","backscatter,bands,texture,polar,topo","Zhejiang province, China",coniferous broadleaved forests,,2018,Comparative Analysis of Modeling Algorithms for Forest Aboveground Biomass Estimation in a Subtropical Region
relative rmse,mlr,28.8,,"landsat,alos","backscatter,bands,texture,polar,topo","Zhejiang province, China",coniferous broadleaved forests,,2018,Comparative Analysis of Modeling Algorithms for Forest Aboveground Biomass Estimation in a Subtropical Region
rmse,mlr,1.13,kg/m2,hj,"bands,vi","Jiangsu Province, China",wetland forests,,2018,Adaptive neural network based on segmented particle swarm optimization  for remote-sensing estimations of vegetation biomass
r^2,nn,0.62,,"landsat,modis,glass,icesat,smrt","bpv,canopy,climate,topo",global,mixed forests,"ensemble (n=50) average under random sampling (not stratified), SRTM, mlpnn",2020,An Evaluation of Eight Machine Learning Regression Algorithms for Forest Aboveground Biomass Estimation from Multiple Satellite Data Products
rmse,nn,52.81,mg/ha,"landsat,modis,glass,icesat,smrt","bpv,canopy,climate,topo",global,mixed forests,"ensemble (n=50) average under random sampling (not stratified), SRTM, mlpnn",2020,An Evaluation of Eight Machine Learning Regression Algorithms for Forest Aboveground Biomass Estimation from Multiple Satellite Data Products
bias,nn,-0.02,mg/ha,"landsat,modis,glass,icesat,smrt","bpv,canopy,climate,topo",global,mixed forests,"ensemble (n=50) average under random sampling (not stratified), SRTM, mlpnn",2020,An Evaluation of Eight Machine Learning Regression Algorithms for Forest Aboveground Biomass Estimation from Multiple Satellite Data Products
relative rmse,nn,29.42,,"landsat,modis,glass,icesat,smrt","bpv,canopy,climate,topo",global,mixed forests,"ensemble (n=50) average under random sampling (not stratified), SRTM, mlpnn",2020,An Evaluation of Eight Machine Learning Regression Algorithms for Forest Aboveground Biomass Estimation from Multiple Satellite Data Products
rmse,nn,18.2,mg/ha,"icesat,glass,modis,smrt","bpv,canopy,climate,topo",global,mixed forests ,global for forest type enf - mg/ha,2020,A New Method for Generating a Global Forest  Aboveground Biomass Map From Multiple  High-Level Satellite Products and  Ancillary Information
r^2,nn,0.78,,"icesat,glass,modis,smrt","bpv,canopy,climate,topo",global,mixed forests ,global for forest type enf,2020,A New Method for Generating a Global Forest  Aboveground Biomass Map From Multiple  High-Level Satellite Products and  Ancillary Information
rmse,nn,63.24,mg/ha,"icesat,glass,modis,smrt","bpv,canopy,climate,topo",global,mixed forests ,global for forest type ebf - mg/ha,2020,A New Method for Generating a Global Forest  Aboveground Biomass Map From Multiple  High-Level Satellite Products and  Ancillary Information
r^2,nn,0.62,,"icesat,glass,modis,smrt","bpv,canopy,climate,topo",global,mixed forests ,global for forest type ebf,2020,A New Method for Generating a Global Forest  Aboveground Biomass Map From Multiple  High-Level Satellite Products and  Ancillary Information
rmse,nn,18.81,mg/ha,"icesat,glass,modis,smrt","bpv,canopy,climate,topo",global,mixed forests ,global for forest type dnf - mg/ha,2020,A New Method for Generating a Global Forest  Aboveground Biomass Map From Multiple  High-Level Satellite Products and  Ancillary Information
r^2,nn,0.76,,"icesat,glass,modis,smrt","bpv,canopy,climate,topo",global,mixed forests ,global for forest type dnf,2020,A New Method for Generating a Global Forest  Aboveground Biomass Map From Multiple  High-Level Satellite Products and  Ancillary Information
rmse,nn,29.98,mg/ha,"icesat,glass,modis,smrt","bpv,canopy,climate,topo",global,mixed forests ,global for forest type dbf - mg/ha,2020,A New Method for Generating a Global Forest  Aboveground Biomass Map From Multiple  High-Level Satellite Products and  Ancillary Information
r^2,nn,0.82,,"icesat,glass,modis,smrt","bpv,canopy,climate,topo",global,mixed forests ,global for forest type dbf,2020,A New Method for Generating a Global Forest  Aboveground Biomass Map From Multiple  High-Level Satellite Products and  Ancillary Information
rmse,nn,39.87,mg/ha,"icesat,glass,modis,smrt","bpv,canopy,climate,topo",global,mixed forests ,global for forest type mf - mg/ha,2020,A New Method for Generating a Global Forest  Aboveground Biomass Map From Multiple  High-Level Satellite Products and  Ancillary Information
r^2,nn,0.73,,"icesat,glass,modis,smrt","bpv,canopy,climate,topo",global,mixed forests ,global for forest type mf,2020,A New Method for Generating a Global Forest  Aboveground Biomass Map From Multiple  High-Level Satellite Products and  Ancillary Information
r^2,nn,0.8795,,"S1,smos,alos","vi,climate",global,mixed forests,,2022,Global-scale biomass estimation based on machine learning and deep learning methods
rmse,nn,40.57,mg/ha,"S1,smos,alos","vi,climate",global,mixed forests,,2022,Global-scale biomass estimation based on machine learning and deep learning methods
relative rmse,nn,30.1041,,"S1,smos,alos","vi,climate",global,mixed forests,,2022,Global-scale biomass estimation based on machine learning and deep learning methods
bias,nn,1.5,mg/ha,"S1,smos,alos","vi,climate",global,mixed forests,,2022,Global-scale biomass estimation based on machine learning and deep learning methods
r^2,nn,0.51,,"S1,GF1,smrt","texture,vi,topo","Dabie Mountains, China",mixed forests,,2022,"Estimating Forest Aboveground Biomass Using Gaofen-1 Images, Sentinel-1 Images, and Machine Learning Algorithms: A Case Study of the Dabie Mountain Region, China"
rmse,nn,20.79,t/ha,"S1,GF1,smrt","texture,vi,topo","Dabie Mountains, China",mixed forests,,2022,"Estimating Forest Aboveground Biomass Using Gaofen-1 Images, Sentinel-1 Images, and Machine Learning Algorithms: A Case Study of the Dabie Mountain Region, China"
mae,nn,15.51,t/ha,"S1,GF1,smrt","texture,vi,topo","Dabie Mountains, China",mixed forests,,2022,"Estimating Forest Aboveground Biomass Using Gaofen-1 Images, Sentinel-1 Images, and Machine Learning Algorithms: A Case Study of the Dabie Mountain Region, China"
me,nn,3.56,t/ha,"S1,GF1,smrt","texture,vi,topo","Dabie Mountains, China",mixed forests,,2022,"Estimating Forest Aboveground Biomass Using Gaofen-1 Images, Sentinel-1 Images, and Machine Learning Algorithms: A Case Study of the Dabie Mountain Region, China"
r^2,nn,0.7405,,landsat,"bands,vi,texture","Yongshou County, China",plantation forests,black locust planted forests,2021,Aboveground biomass estimation of black locust planted forests with aspect variable using machine learning regression algorithms
r^2,nn,0.48,,"lidar,smrt",canopy,Brunei Darussalam,peat swamp forest,peat swamplands,2024,Estimation of above-ground biomass using machine learning approaches with InSAR and LiDAR data in tropical peat swamp forest of Brunei Darussalam
rmse,nn,111.21,,"lidar,smrt",canopy,Brunei Darussalam,peat swamp forest,peat swamplands - mg/ha,2024,Estimation of above-ground biomass using machine learning approaches with InSAR and LiDAR data in tropical peat swamp forest of Brunei Darussalam
mae,nn,95.09,mg/ha,"lidar,smrt",canopy,Brunei Darussalam,peat swamp forest,peat swamplands - mg/ha,2024,Estimation of above-ground biomass using machine learning approaches with InSAR and LiDAR data in tropical peat swamp forest of Brunei Darussalam
r^2,nn,0.25,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
rmse,nn,1.01,t/ha,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,unknown units,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
relative rmse,nn,60.37,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
r^2,nn,0.39,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
rmse,nn,0.99,t/ha,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,unknown units,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
relative rmse,nn,58.99,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
r^2,nn,0.53,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,mlpnn,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
rmse,nn,1.2,t/ha,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,mlpnn,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
relative rmse,nn,71.7,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,mlpnn,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
r^2,nn,0.52,mg/ha,"S1,S2,smrt","polar,bands,topo,climate,vi,soil,texture","Western Ghats, India",Tropical forests,Diverse forests,2024,"A comparative analysis of machine learning techniques for aboveground biomass estimation: A case study of the Western Ghats, India"
rmse,nn,11.47,,"S1,S2,smrt","polar,bands,topo,climate,vi,soil,texture","Western Ghats, India",Tropical forests,Diverse forests - mg/ha,2024,"A comparative analysis of machine learning techniques for aboveground biomass estimation: A case study of the Western Ghats, India"
mae,nn,9.47,,"S1,S2,smrt","polar,bands,topo,climate,vi,soil,texture","Western Ghats, India",Tropical forests,Diverse forests - mg/ha,2024,"A comparative analysis of machine learning techniques for aboveground biomass estimation: A case study of the Western Ghats, India"
r^2,nn,0.448,,"S2,landsat","bands,vi,climate,topo","Yunnan Province, china",rainforests,brnn,2023,Estimating the Aboveground Biomass of Various Forest Types with High Heterogeneity at the Provincial Scale Based on Multi-Source Data
rmse,nn,54.834,mg/ha,"S2,landsat","bands,vi,climate,topo","Yunnan Province, china",rainforests,brnn,2023,Estimating the Aboveground Biomass of Various Forest Types with High Heterogeneity at the Provincial Scale Based on Multi-Source Data
